Speldatum;Tid;Veckodag;Matchnr;Omgång;Hemma;Borta;Arena;Serie;Resultat;Publik;Information
2026-06-15;17:00;Torsdag;99099024;34;Sollentuna HC;Test  HC;CYLOQ Arena;Preseason Games Herr [99099];;;
;;;;;;;;;;;
2026-06-15;18:00;Torsdag;99099024;34;Sollentuna HC;Test 2 HC;CYLOQ Arena;Preseason Games Herr [99099];;;
;;;;;;;;;;;
2026-06-15;19:00;Torsdag;99099024;34;Sollentuna HC;Test 3 HC;CYLOQ Arena;Preseason Games Herr [99099];;;
;;;;;;;;;;;
2026-06-15;20:00;Torsdag;99099024;34;Sollentuna HC;Test 4 HC;CYLOQ Arena;Preseason Games Herr [99099];;;
;;;;;;;;;;;
2026-06-15;21:00;Torsdag;99099024;34;Sollentuna HC;Test 5 HC;CYLOQ Arena;Preseason Games Herr [99099];;;
;;;;;;;;;;;
2026-06-16;17:00;Torsdag;99099024;34;Sollentuna HC;Test  HC;CYLOQ Arena;Preseason Games Herr [99099];;;
;;;;;;;;;;;
2026-06-16;18:00;Torsdag;99099024;34;Sollentuna HC;Test 2 HC;CYLOQ Arena;Preseason Games Herr [99099];;;
;;;;;;;;;;;
2026-06-16;19:00;Torsdag;99099024;34;Sollentuna HC;Test 3 HC;CYLOQ Arena;Preseason Games Herr [99099];;;
;;;;;;;;;;;
2026-06-16;20:00;Torsdag;99099024;34;Sollentuna HC;Test 4 HC;CYLOQ Arena;Preseason Games Herr [99099];;;
;;;;;;;;;;;
2026-06-16;21:00;Torsdag;99099024;34;Sollentuna HC;Test 5 HC;CYLOQ Arena;Preseason Games Herr [99099];;;
;;;;;;;;;;;
2026-08-12;19:00;Onsdag;97099061;33;Sollentuna HC;Huddinge IK;CYLOQ Arena;Preseason Games U20 H [97099], Svenska Ishockeyförbundet ;;;
;;;;;;;;;;;
2026-08-18;19:00;Tisdag;97099062;34;Sollentuna HC;Hanvikens SK;CYLOQ Arena;Preseason Games U20 H [97099], Svenska Ishockeyförbundet ;;;
;;;;;;;;;;;
2026-08-20;19:00;Torsdag;99099024;34;Sollentuna HC;Järfälla HC;CYLOQ Arena;Preseason Games Herr [99099];;;
;;;;;;;;;;;
